Date,Row,Batch,Variety,Total kg,Saleable kg,Samples kg,BRIX,TA,BRIX/TA,Total kg (Grade B),Causes (Grade B),Total kg (cull),Causes (cull)
5/11/2023,12,8,HH,0.57,0.47,,,,,0.1,,,
5/11/2023,11,7,HH,0.72,0.66,,,,,0.06,,,
5/11/2023,6,9,HH,1.455,1.035,,,,,0.42,,,
5/11/2023,10,7,HH,0.705,0.64,,,,,0.065,,,
5/11/2023,7,9,HH,1.645,1.325,,,,,0.32,,,
5/11/2023,17,10,HH,0.2,0.16,,,,,0.04,,,
5/11/2023,9,7,HH,1,0.835,,,,,0.165,,,
5/11/2023,8,9,HH,1.36,1.18,,,,,0.18,,,
5/15/2023,28,8,JUK,1.66,1.64,,,,,0.02,,,
5/15/2023,29,,JUK,1.8,1.61,,,,,0.19,,,
5/15/2023,35,,JUK,3.08,2.835,,,,,0.245,,,
5/15/2023,30,2,JUK,1.145,0.805,,,,,0.34,,,
5/15/2023,31,,JUK,1.09,0.895,,,,,0.195,,,
5/15/2023,32,,JUK,2.28,2.07,,,,,0.21,,,
5/15/2023,18,9,MER,2.21,1.71,,,,,0.5,,,
5/15/2023,34,,JUK,3.08,2.815,,,,,0.265,,,
5/15/2023,33,,JUK,1.55,1.47,,,,,0.08,,,
5/15/2023,19,9,MER,0.52,0.445,,,,,0.075,,,
5/15/2023,17,,MER,0.15,0.15,,,,,,,,
5/15/2023,20,6,MER,1.56,1.04,,,,,0.52,,,
5/15/2023,21,7,MER,2.085,0.685,,,,,1.4,,,
5/15/2023,26,,MER,2.2,0.5,,,,,1.7,,,
5/15/2023,27,,MER,2.17,0.77,,,,,1.4,,,
5/15/2023,22,8,MER,1.335,0.455,,,,,0.88,,,
5/15/2023,25,,MER,1.7,0.52,,,,,1.18,,,
5/15/2023,23,2,MER,1.48,0.12,,,,,1.36,,,
5/15/2023,24,,MER,1.96,0.46,,,,,1.5,,,
5/15/2023,5,9,HH,1.575,1.305,,,,,0.27,,,
5/15/2023,14,,HH,1.5,1.16,,,,,0.34,,,
5/15/2023,19,9,JUK,0.35,0.35,0.35,,,,,,,
5/15/2023,6,9,HH,1.685,1.435,,,,,0.25,,,
5/15/2023,19,10,HH,0.76,0.72,0.2,,,,0.04,,,
5/15/2023,13,,HH,1.09,0.72,,,,,0.37,,,
5/15/2023,7,9,HH,1.41,1.165,,,,,0.245,,,
5/15/2023,11,,HH,1.68,1.27,,,,,0.41,,,
5/15/2023,12,,HH,0.635,0.465,,,,,0.17,,,
5/15/2023,8,9,HH,1.695,1.475,,,,,0.22,,,
5/15/2023,9,7,HH,1.335,0.83,,,,,0.505,,,
5/15/2023,10,,HH,1.085,0.835,,,,,0.25,,,
05/18/2023,5,9,HH,1.445,1.25,,,,,0.195,,,
05/18/2023,14,,HH,1.605,1.375,,,,,0.23,,,
05/18/2023,6,9,HH,1.38,1.26,,,,,0.12,,,
05/18/2023,13,,HH,1.62,1.245,,,,,0.375,,,
05/18/2023,9,7,HH,1.97,1.32,,,,,0.65,,,
05/18/2023,7,9,HH,1.59,1.38,,,,,0.21,,,
05/18/2023,10,7,HH,1.75,1.07,,,,,0.68,,,
05/18/2023,12,,HH,1.285,1.035,,,,,0.25,,,
05/18/2023,11,,HH,1.621,0.951,,,,,0.67,,,
05/18/2023,18,9,MER,1.11,0.73,,,,,0.38,,,
05/18/2023,20,,MER,0.94,0.595,,,,,0.345,,,
05/18/2023,19,9,MER,0.665,0.6,,,,,0.065,,,
05/18/2023,22,8,MER,1.53,0.67,,,,,0.86,,,
05/18/2023,21,,MER,1.64,0.51,,,,,1.13,,,
05/18/2023,27,,MER,1.29,0.29,,,,,1,,,
05/18/2023,23,2,MER,1.87,0.175,,,,,1.695,,,
05/18/2023,25,4,MER,1.04,0.205,,,,,0.835,,,
05/18/2023,24,,MER,3.2,0.44,,,,,2.76,,,
05/18/2023,26,,MER,1.1,0.33,,,,,0.77,,,
05/18/2023,34,5,JUK,1.795,1.375,,,,,0.42,,,
05/18/2023,30,2,JUK,0.9,0.52,,,,,0.38,,,
05/18/2023,28,,JUK,1.76,1.62,,,,,0.14,,,
05/18/2023,29,,JUK,1.3,1,,,,,0.3,,,
05/18/2023,31,3,JUK,0.96,0.595,,,,,0.365,,,
05/18/2023,33,,JUK,1.3,1.13,,,,,0.17,,,
05/18/2023,32,4,JUK,0.845,0.595,,,,,0.25,,,
5/22/2023,5,9,HH,1.95,1.47,,,,,0.48,,,
5/22/2023,14,,HH,2.325,1.88,,,,,0.445,,,
5/22/2023,6,9,HH,1.905,1.4,,,,,0.505,,,
5/22/2023,7,9,HH,2.25,1.615,,,,,0.635,,,
5/22/2023,13,,HH,2.345,1.715,,,,,0.63,,,
5/22/2023,8,,HH,5.3,4.6,,,,,0.7,,,
5/22/2023,12,,HH,2.985,2.365,,,,,0.62,,,
5/22/2023,9,7,HH,4.09,2.715,,,,,1.375,,,
5/22/2023,10,,HH,3.4,2.4,,,,,1,,,
5/22/2023,11,,HH,1.535,0.93,,,,,0.605,,,
5/22/2023,17,10,HH,0.815,0.72,,,,,0.095,,,
5/22/2023,27,,MER,1.93,1.725,,,,,0.205,,,
5/22/2023,18,9,MER,5.8,4.1,,,,,1.7,,,
5/22/2023,17,9,MER,1.06,0.74,,,,,0.32,,,
5/22/2023,19,9,MER,2.09,1.605,,,,,0.485,,,
5/22/2023,20,6,MER,1.24,0.595,,,,,0.645,,,
5/22/2023,25,4,MER,1.865,0.565,,,,,1.3,,,
5/22/2023,35,6,JUK,6.285,4.635,,,,,1.65,,,
5/22/2023,26,,MER,1.405,1.27,,,,,0.135,,,
5/22/2023,17,,JUK,0.83,0.67,,,,,0.16,,,
5/22/2023,34,5,JUK,1.665,0.98,,,,,0.685,,,
5/22/2023,33,4,JUK,1.975,1.335,,,,,0.64,,,
5/22/2023,32,4,JUK,1.5,1.06,,,,,0.44,,,
5/22/2023,19,10,JUK,1.68,1.53,,,,,0.15,,,
5/22/2023,31,3,JUK,1.055,0.73,,,,,0.325,,,
5/22/2023,28,,JUK,3.94,3.84,,,,,0.1,,,
5/22/2023,30,2,JUK,1.4,0.89,,,,,0.51,,,
,29,,JUK,1.77,1.46,,,,,0.31,,,
